Group Code,Customer Account ID,Customer Name,Line of Business,Line of Coverage,Premium Due Date,Premium Amount,Rate,Payment Amount,Payment Category Name,Marketer Name,Product Name,"* Paid Family Medical Leave  PFML  compensation is identified as Paid Medical Leave  PML  in some states.


Customer Confidential     This document is the property of Principal. It may not be shared without explicit permission of Principal."
00366-00246,1087603-10001,GRAYDAZE CONTRAC,GROUP,VOL TRM LIFE,05/01/2025,995.99,15%,149.40,RENEWAL,J C SNELLINGS,
00366-00246,1087603-10001,GRAYDAZE CONTRAC,GROUP,VOL DENTAL,05/01/2025,4843.64,10%,484.37,RENEWAL,J C SNELLINGS,
00366-00246,1087603-10001,GRAYDAZE CONTRAC,GROUP,LTD,05/01/2025,1838.26,10%,183.83,RENEWAL,J C SNELLINGS,
00366-00246,1087603-10001,GRAYDAZE CONTRAC,GROUP,VISION,05/01/2025,706.78,10%,70.68,RENEWAL,J C SNELLINGS,
00366-00246,1090178-10001,"ReluTech, LLC",GROUP,VLTD,05/01/2025,627.84,15%,94.18,RENEWAL,J C SNELLINGS,
00366-00246,1090178-10001,"ReluTech, LLC",GROUP,VOL TRM LIFE,05/01/2025,509.02,15%,76.35,RENEWAL,J C SNELLINGS,
00366-00246,1090178-10001,"ReluTech, LLC",GROUP,VSTD,05/01/2025,480.62,15%,72.09,RENEWAL,J C SNELLINGS,
00366-00246,1090178-10001,"ReluTech, LLC",GROUP,LIFE,05/01/2025,432.25,15%,64.84,RENEWAL,J C SNELLINGS,
00366-00246,1090178-10001,"ReluTech, LLC",GROUP,VCI,05/01/2025,101.56,15%,15.24,RENEWAL,J C SNELLINGS,
00366-00246,1090178-10001,"ReluTech, LLC",GROUP,DENTAL,05/01/2025,3832.63,10%,383.26,RENEWAL,J C SNELLINGS,
00366-00246,1090178-10001,"ReluTech, LLC",GROUP,VISION,05/01/2025,474.95,10%,47.50,RENEWAL,J C SNELLINGS,
00366-00246,1091334-10001,EARTH RETENTION,GROUP,LTD,05/01/2025,462.00,10%,46.20,RENEWAL,J C SNELLINGS,
00366-00246,1091334-10001,EARTH RETENTION,GROUP,STD,05/01/2025,434.57,10%,43.46,RENEWAL,J C SNELLINGS,
00366-00246,1091334-10001,EARTH RETENTION,GROUP,VISION,05/01/2025,269.35,10%,26.94,RENEWAL,J C SNELLINGS,
00366-00246,1091334-10001,EARTH RETENTION,GROUP,LIFE,05/01/2025,129.21,10%,12.92,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10001,KING GREEN LLC,GROUP,VOL TRM LIFE,04/01/2025,455.62,15%,68.34,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10001,KING GREEN LLC,GROUP,VSTD,04/01/2025,67.96,15%,10.19,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10001,KING GREEN LLC,GROUP,LIFE,04/01/2025,55.73,15%,8.36,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10001,KING GREEN LLC,GROUP,VOL DENTAL,04/01/2025,385.36,10%,38.54,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10001,KING GREEN LLC,GROUP,VISION,04/01/2025,67.10,10%,6.71,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10001,KING GREEN LLC,GROUP,VOL TRM LIFE,05/01/2025,463.48,15%,69.52,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10001,KING GREEN LLC,GROUP,LIFE,05/01/2025,56.92,15%,8.54,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10001,KING GREEN LLC,GROUP,VSTD,05/01/2025,42.60,15%,6.39,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10001,KING GREEN LLC,GROUP,VOL DENTAL,05/01/2025,331.05,10%,33.11,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10001,KING GREEN LLC,GROUP,VISION,05/01/2025,70.10,10%,7.01,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10002,KING GREEN LLC,GROUP,VOL TRM LIFE,04/01/2025,334.40,15%,50.16,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10002,KING GREEN LLC,GROUP,LIFE,04/01/2025,88.46,15%,13.27,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10002,KING GREEN LLC,GROUP,VSTD,04/01/2025,74.68,15%,11.20,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10002,KING GREEN LLC,GROUP,VOL DENTAL,04/01/2025,604.65,10%,60.47,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10002,KING GREEN LLC,GROUP,VISION,04/01/2025,85.26,10%,8.53,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10002,KING GREEN LLC,GROUP,VOL TRM LIFE,05/01/2025,369.45,15%,55.42,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10002,KING GREEN LLC,GROUP,LIFE,05/01/2025,100.44,15%,15.07,RENEWAL,J C SNELLINGS,
