Group Code,Customer Account ID,Customer Name,Line of Business,Line of Coverage,Premium Due Date,Premium Amount,Rate,Payment Amount,Payment Category Name,Marketer Name,Product Name,"* Paid Family Medical Leave  PFML  compensation is identified as Paid Medical Leave  PML  in some states.


Customer Confidential     This document is the property of Principal. It may not be shared without explicit permission of Principal."
00366-00246,1093818-10001,KING GREEN LLC,GROUP,LIFE,05/01/2025,-2.42,15%,-.36,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10002,KING GREEN LLC,GROUP,LIFE,05/01/2025,-7.44,15%,-1.12,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10002,KING GREEN LLC,GROUP,VOL DENTAL,05/01/2025,-42.41,10%,-4.24,RENEWAL,J C SNELLINGS,
00366-00246,1152352-10001,Plants Creative,GROUP,VOL TRM LIFE,05/01/2025,423.82,20%,84.76,RENEWAL,J C SNELLINGS,
00366-00246,1152352-10001,Plants Creative,GROUP,LIFE,05/01/2025,277.51,15%,41.63,RENEWAL,J C SNELLINGS,
00366-00246,1152352-10001,Plants Creative,GROUP,VOL DENTAL,05/01/2025,613.42,13%,79.74,RENEWAL,J C SNELLINGS,
00366-00246,1152352-10001,Plants Creative,GROUP,VISION,05/01/2025,76.22,13%,9.91,RENEWAL,J C SNELLINGS,
00366-00246,1185989-10001,Landscape Manage,GROUP,VOL DENTAL,05/01/2025,299.49,10%,29.95,RENEWAL,J C SNELLINGS,
00366-00246,1185989-10001,Landscape Manage,GROUP,VISION,05/01/2025,66.85,10%,6.69,RENEWAL,J C SNELLINGS,
00366-00246,1067716-10001,PIZZA THE PIE LL,GROUP,VOL TRM LIFE,05/01/2025,653.87,15%,98.08,RENEWAL,J C SNELLINGS,
00366-00246,1067716-10001,PIZZA THE PIE LL,GROUP,VISION,05/01/2025,499.68,10%,49.97,RENEWAL,J C SNELLINGS,
00366-00246,1067716-10001,PIZZA THE PIE LL,GROUP,VOL DENTAL,05/01/2025,1961.32,6%,117.68,RENEWAL,J C SNELLINGS,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,LIFE,07/01/2024,-4.53,15%,-.68,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,STD,07/01/2024,-14.04,15%,-2.11,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,LIFE,08/01/2024,-4.53,15%,-.68,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,STD,08/01/2024,-14.04,15%,-2.11,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,LIFE,09/01/2024,-4.53,15%,-.68,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,STD,09/01/2024,-14.04,15%,-2.11,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,LIFE,10/01/2024,-4.53,15%,-.68,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,STD,10/01/2024,-15.72,15%,-2.36,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,LIFE,11/01/2024,-4.53,15%,-.68,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,STD,11/01/2024,-15.72,15%,-2.36,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,LIFE,12/01/2024,-4.53,15%,-.68,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,STD,12/01/2024,-15.72,15%,-2.36,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,LIFE,01/01/2025,-6.40,15%,-.96,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,VOL TRM LIFE,01/01/2025,-18.29,15%,-2.75,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,STD,01/01/2025,-22.01,15%,-3.30,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,LIFE,02/01/2025,-21.92,15%,-3.28,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,VOL TRM LIFE,02/01/2025,-46.98,15%,-7.06,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,STD,02/01/2025,-63.03,15%,-9.45,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,VOL TRM LIFE,03/01/2025,-46.98,15%,-7.06,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,LIFE,03/01/2025,-80.12,15%,-11.98,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,LTD,03/01/2025,-87.78,15%,-13.17,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,STD,03/01/2025,-272.21,15%,-40.82,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,VOL TRM LIFE,04/01/2025,-49.46,15%,-7.43,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,LIFE,04/01/2025,-153.84,15%,-23.00,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,LTD,04/01/2025,-191.86,15%,-28.79,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,STD,04/01/2025,-561.37,15%,-84.20,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,STD,05/01/2025,10491.46,15%,1573.72,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,LTD,05/01/2025,3404.32,15%,510.65,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,LIFE,05/01/2025,2531.89,15%,379.78,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,VOL TRM LIFE,05/01/2025,1857.02,15%,278.55,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,ACC,05/01/2025,965.79,15%,144.87,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,VCI,05/01/2025,382.44,15%,57.37,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,VOL TRM LIFE,05/01/2025,-49.46,15%,-7.43,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,LIFE,05/01/2025,-169.36,15%,-25.32,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,LTD,05/01/2025,-191.86,15%,-28.79,RENEWAL,J C SNELLINGS/J A MASSEY,
