Carrier,Carrier Code,Integration,Status,Refer,Agency,Date,Description,Original Description,Bank,Amount,Balance,Statements,Statments Posted Refers,Tags,Assignee,Comments,Revenue In Triage,Revenue Ready to Post,Revenue Posted
QEO Insurance Group,QEOINSU-01,Epic,UNAPPLIED,21529-5,SWI,2026-01-29,R/P Sunbelt Traffic AQ1YGA000269-00,,101351 - Coastal States Bank Checking,1184.4,1184.4,,,,,,,,
A J Gallagher Risk Management,AJGAL10-01,Epic,UNAPPLIED,21653-12,SWI,2026-02-13,r/p pol#GL3506777 LEWICON-01,,101351 - Coastal States Bank Checking,52305.86,52305.86,,,,,,,,
QEO Insurance Group,QEOINSU-01,Epic,UNAPPLIED,21529-4,SWI,2026-01-29,R/P Advantage Fire AQ1YGA000201-02,,101351 - Coastal States Bank Checking,2764.8,2764.8,,,,,,,,
Joseph Chiarello & Co. Inc.,JOSEP10-01,Epic,UNAPPLIED,21486-2,SWI,2026-01-27,01/20/2026 JOSEP10-01 R/P - Wallace & Wallace 47-CHP-001275-03// Audit,,101351 - Coastal States Bank Checking,1001.7,1001.7,,,,,,,,
A J Gallagher Risk Management,AJGAL10-01,Epic,UNAPPLIED,21137-14,SWI,2025-12-10,r/p policy# MWC31535024 Courier Net,,101351 - Coastal States Bank Checking,30557.77,30557.77,,,,,,,,
"Shared Agency Services, LLC",SHARAGE-01,Epic,UNAPPLIED,21205-2,SWI,2025-12-23,12/09/2025 SecureRisk LLC PAYMENTS - Ga Tech Facilities,,101351 - Coastal States Bank Checking,163.8,163.8,,,,,,,,
"R-T Specialty, LLC",R-TSP10-01,Epic,UNAPPLIED,21182-16,SWI,2025-12-17,r/p Greenleaf Investment pol# ARL922260,,101351 - Coastal States Bank Checking,6026.34,6026.34,,,,,,,,
Transamerica Life Companies,TRALI1,Epic,UNAPPLIED,21305-3,SWI,2025-12-30,No Statement,,101351 - Coastal States Bank Checking,1509.58,1509.58,,,,,,,,
Burns & Wilcox Ltd.,BURNS10-01,Epic,UNAPPLIED,21162-17,SWI,2025-12-12,November Credit Statement,,101351 - Coastal States Bank Checking,3628.31,3628.31,,,,,,,,
"R-T Specialty, LLC",R-TSP10-01,Epic,UNAPPLIED,21697-5,SWI,2026-02-19,r/p Fifeco pol# P0000003762,,101351 - Coastal States Bank Checking,719.1,719.1,,,,,,,,
"BRAZOS SPECIALTY RISK, INC",BRAZSPE-01,Epic,UNAPPLIED,21182-19,SWI,2025-12-17,R/P Delfa Enterprise CAP 060001102,,101351 - Coastal States Bank Checking,1637.1,1637.1,,,,,,,,
Travelers Property & Casualty Company of America,TRAPR1,Epic,UNAPPLIED,21305-4,SWI,2025-12-30,Commission Overpayment - No Statement,,101351 - Coastal States Bank Checking,60.67,60.67,,,,,,,,
Central Insurance Companies,CENIN1,Epic,UNAPPLIED,21875-6,SWI,2026-03-12,r/p CLP8698287 Maileg,,101351 - Coastal States Bank Checking,227.8,227.8,,,,,,,,
"Brown & Riding Insurance Services, Inc.",BROW&RI-01,Epic,UNAPPLIED,21162-12,SWI,2025-12-12,r/p GA Appreciation Pro pol #CP1870413,,101351 - Coastal States Bank Checking,3312,3312,,,,,,,,
CNA Insurance Co,CNAIN1,Epic,UNAPPLIED,21353-3,SWI,2025-12-31,Clear CNA out of balance Ref#21183,,101351 - Coastal States Bank Checking,63329.5,63329.5,,,,,,,,
QEO Insurance Group,QEOINSU-01,Epic,UNAPPLIED,21043-2,SWI,2025-11-26,r/p Advantage Fire pol#000201-02,,101351 - Coastal States Bank Checking,4076.1,4076.1,,,,,,,,
Starr Indemnity &  Liability Company,STAIN2,Epic,UNAPPLIED,21652-2,SWI,2026-02-13,02/11/2026 R/P Star Indemnity pol#1000081840 SRM Holdings,,101351 - Coastal States Bank Checking,3542,3542,,,,,,,,
Berkley Aspire,BERAS2,Epic,UNAPPLIED,21084-2,SWI,2025-11-30,ACH Bkly Ins Co-BRSI Direct Bill Commissions - No Stmt,,101351 - Coastal States Bank Checking,130,130,,,,,,,,
Axis Insurance Company,AXIIN1,Epic,UNAPPLIED,21488-2,SWI,2026-01-28,01/23/2026 Wire - Reimbursement SINGLLC-01 CAD policy,,101351 - Coastal States Bank Checking,7825.76,7825.76,,,,,,,,
Travelers Property & Casualty Company of America,TRAPR1,Epic,UNAPPLIED,21305-5,SWI,2025-12-30,Commission Overpayment - No Statement,,101351 - Coastal States Bank Checking,94.63,94.63,,,,,,,,
